dimension,slice,candidate,outer_fold,rows,actual_dead_rate,fold_global_policy_predicted_dead_rate,fold_global_policy_dead_class_f1,fold_global_policy_weighted_f1,fold_within_slice_predicted_dead_rate,fold_within_slice_dead_class_f1,fold_within_slice_weighted_f1
age_recode,50-54 years,nested_pseudo90,4,154,0.7012987012987013,0.8181818181818182,0.8547008547008547,0.7608607608607609,0.8441558441558441,0.8571428571428571,0.7547309833024118
age_recode,50-54 years,nested_pseudo90,5,148,0.7972972972972973,0.8243243243243243,0.9166666666666666,0.8611647361647361,0.8445945945945946,0.9218106995884774,0.8649928754750558
age_recode,50-54 years,nested_pseudo90_nn20,1,160,0.8,0.80625,0.9260700389105059,0.8805385708109444,0.84375,0.935361216730038,0.8886398505770128
age_recode,50-54 years,nested_pseudo90_nn20,2,166,0.7469879518072289,0.7590361445783133,0.904,0.854236849838378,0.8433734939759037,0.9318181818181818,0.8820952258230783
age_recode,50-54 years,nested_pseudo90_nn20,3,161,0.8012422360248447,0.7701863354037267,0.924901185770751,0.8850972593883746,0.84472049689441,0.9433962264150944,0.9023419911550821
age_recode,50-54 years,nested_pseudo90_nn20,4,154,0.7012987012987013,0.8181818181818182,0.8547008547008547,0.7608607608607609,0.8441558441558441,0.865546218487395,0.7691585725199171
age_recode,50-54 years,nested_pseudo90_nn20,5,148,0.7972972972972973,0.8378378378378378,0.9173553719008265,0.8590325863053135,0.8445945945945946,0.9135802469135802,0.8507815992092721
age_recode,55-59 years,frozen_tree,1,350,0.8,0.8142857142857143,0.9238938053097345,0.8754113405440839,0.8457142857142858,0.9201388888888888,0.8619175627240143
age_recode,55-59 years,frozen_tree,2,369,0.7804878048780488,0.8265582655826558,0.9072512647554806,0.8443474967982221,0.8455284552845529,0.9066666666666666,0.8380770590314599
age_recode,55-59 years,frozen_tree,3,388,0.7938144329896907,0.8067010309278351,0.8856682769726248,0.8147955361269225,0.845360824742268,0.889937106918239,0.8095377034299422
age_recode,55-59 years,frozen_tree,4,358,0.8072625698324022,0.8463687150837989,0.8952702702702703,0.8190868941567266,0.8463687150837989,0.8952702702702703,0.8190868941567266
age_recode,55-59 years,frozen_tree,5,356,0.7808988764044944,0.8146067415730337,0.9014084507042254,0.837803977422588,0.8455056179775281,0.9119170984455959,0.8471999408196221
age_recode,55-59 years,nested_pseudo90,1,350,0.8,0.8142857142857143,0.9203539823008849,0.8696165191740414,0.8457142857142858,0.9166666666666666,0.8559139784946235
age_recode,55-59 years,nested_pseudo90,2,369,0.7804878048780488,0.8346883468834688,0.9093959731543624,0.8458081934066339,0.8455284552845529,0.91,0.8438600212089077
